,pops,pi,tajimaD,watt_theta
29,AGO (An. coluzzii),0.00296633693735143,-1.9221847585500014,0.009184484204575287
30,AGO (An. coluzzii),0.0044369374246866,-1.0180915978566967,0.007064987849673298
31,AGO (An. coluzzii),0.0014642910142003444,-2.532323809321958,0.011303980559477277
32,AGO (An. coluzzii),0.0020953914577102983,-2.3173008585875414,0.010597481774509948
33,AGO (An. coluzzii),0.0051894793344068706,-1.662793916356721,0.012010479344444606
34,AGO (An. coluzzii),0.004353657694962042,-2.5207590463646943,0.023667709296405548
35,AGO (An. coluzzii),0.0011922398589065254,-2.3140061658779767,0.007418237242156963
36,AGO (An. coluzzii),0.004020552488306112,-1.262811881558449,0.007418237242156963
37,AGO (An. coluzzii),0.007826183865259264,-0.32148714237035575,0.008831234812091623
38,AGO (An. coluzzii),0.009244076374511157,0.5259891722183698,0.007771486634640628
39,AGO (An. coluzzii),0.009576905314430754,-0.7271252099459069,0.012716978129411936
40,AGO (An. coluzzii),0.003955064795644506,-1.616544261808721,0.009184484204575287
41,AGO (An. coluzzii),0.0026870638754696724,-1.554087682963509,0.006358489064705968
42,AGO (An. coluzzii),0.008332833332416214,-0.36036640503421985,0.009537733597058952
43,AGO (An. coluzzii),0.004231423970554404,-1.7351110921245851,0.010597481774509948
